SLNo,BHK_Type,Property_Name,Property_Type,Beds,Bathroom,Balcony,Address,City,State_code,Country,Landmarks
2955,1,"1BHK Multistorey Apartment for Resale in Kudalwadi, Chikhali",Apartment,1,1,1,"Pune, Maharashtra",Pune,Maharashtra,India,Near Spine Road Bride
2956,2,"2BHK Multistorey Apartment for Resale in Mamurdi, Dehu Road",Apartment,2,2,2,"Pune, Maharashtra",Pune,Maharashtra,India,
2957,3,3BHK Multistorey Apartment for Resale in Amrut Kalals  at Karvenagar,Apartment,3,3,2,"Pune, Maharashtra",Pune,Maharashtra,India,Maharshi Karve stree shikshan sansthan
2958,1,1BHK Multistorey Apartment for Resale in Aksha Amulyam at Moshi,Apartment,1,1,1,"Pune, Maharashtra",Pune,Maharashtra,India,Near New Orchid International School
2959,2,2BHK Multistorey Apartment for Resale in Abhimaan Homes at Shirgaon,Apartment,2,2,2,"Pune, Maharashtra",Pune,Maharashtra,India,Near Somatane Phata
2960,1,1BHK Multistorey Apartment for Resale in Silver9 at Moshi,Apartment,1,1,2,"Pune, Maharashtra",Pune,Maharashtra,India,
2961,2,2BHK Multistorey Apartment for Resale in Xrbia Hinjewadi at Hinjawadi,Apartment,2,2,2,"Pune, Maharashtra",Pune,Maharashtra,India,
2962,2,2BHK Multistorey Apartment for Resale in River Residency at Moshi,Apartment,2,2,1,"Pune, Maharashtra",Pune,Maharashtra,India,
2963,1,1BHK Multistorey Apartment for Resale in Rajshree Sonal Residency at Talegaon Dabhade,Apartment,1,1,,"Pune, Maharashtra",Pune,Maharashtra,India,Near Unique Hospital.
2964,3,3BHK Multistorey Apartment for Resale in Kent Exclusive at Fatima Nagar Wanowrie,Apartment,3,3,2,"Pune, Maharashtra",Pune,Maharashtra,India,Bank of Maharashtra Wanowrie
