SLNo,Furnished_status,Facing,Car_Parking,Type_of_ownership,Booking_amount,Buy_total_price
313,Semi-Furnished,,,Power Of Attorney,0,4700000
314,Semi-Furnished,,,,0,2500000
315,Semi-Furnished,,,,0,6000000
316,Unfurnished,,,,0,3600000
317,,,,,0,19000000
318,Semi-Furnished,East,,Freehold,0,6400000
319,Unfurnished,East,,Freehold,0,20000000
320,Semi-Furnished,East,1 Covered,Freehold,50000,2050000
321,Unfurnished,,,,0,3800000
322,Furnished,,,,0,3700000
323,Semi-Furnished,North - East,,Freehold,0,25000000
324,Semi-Furnished,North,"1 Covered, 1 Open",Leasehold,1600000,16000000
325,Semi-Furnished,East,,Freehold,51000,1700000
326,Furnished,,,,0,5900000
327,Semi-Furnished,,1 Open,,0,14000000
328,Unfurnished,,,,0,3000000
329,Semi-Furnished,East,,Freehold,300000,3900000
330,Semi-Furnished,,,,0,5000000
331,Furnished,,,Freehold,100000,3200000
332,Semi-Furnished,South - East,,Freehold,0,40000000
333,Furnished,,,,0,7500000
334,Unfurnished,,,,0,2800000
335,Semi-Furnished,,,,0,12000000
336,Semi-Furnished,,,Freehold,350000,3000000
337,Unfurnished,,,,0,1700000
338,Furnished,,,,0,4000000
339,Semi-Furnished,,,,0,3500000
340,Semi-Furnished,North,1 Open,Freehold,3000000,15000000
341,Semi-Furnished,East,,Freehold,0,3300000
342,Semi-Furnished,,,Freehold,400000,4500000
343,Semi-Furnished,,,,0,4500000
344,Furnished,,,,0,7500000
345,Semi-Furnished,East,1 Open,Freehold,100000,5500000
346,Furnished,West,,Freehold,0,2800000
347,Semi-Furnished,,,,0,7000000
348,Semi-Furnished,,,,0,15000000
349,Furnished,,2 Covered,Freehold,200000,8900000
350,Semi-Furnished,East,1 Covered,Freehold,2000000,20000000
351,Semi-Furnished,,,,0,17500000
352,Semi-Furnished,East,,Freehold,0,9000000
353,Semi-Furnished,,,,0,9000000
354,Unfurnished,North,,Freehold,0,19500000
355,Semi-Furnished,,,,1100000,8500000
356,Semi-Furnished,,,,0,3200000
357,Furnished,East,1 Open,Freehold,0,3700000
358,Semi-Furnished,,,,0,3000000
359,Unfurnished,,,,800000,1500000
360,,,,,0,8000000
361,Furnished,,,,0,2500000
362,Semi-Furnished,North,,Freehold,150000,12000000
363,Unfurnished,East,6 Covered,Co-operative Society,777778,50000000
364,Semi-Furnished,,,Power Of Attorney,20000000,27000000
365,Unfurnished,,,,10000,8900000
366,Unfurnished,South - East,,Freehold,1000000,17500000
367,Semi-Furnished,South,,Freehold,500000,4800000
368,Semi-Furnished,,,,0,3000000
369,Semi-Furnished,,,Freehold,0,8300000
370,Unfurnished,West,,Power Of Attorney,0,8000000
371,Semi-Furnished,,"1 Covered, 1 Open",Freehold,3000000,30100000
372,Unfurnished,,,Freehold,100000,29900000
373,Semi-Furnished,,1 Covered,Freehold,0,17700000
374,Furnished,East,"1 Covered, 2 Open",Freehold,0,35000000
375,Unfurnished,East,,Freehold,0,12000000
376,Semi-Furnished,North,,Freehold,0,6500000
377,,,,,0,3700000
378,Unfurnished,,,,0,15000000
379,Semi-Furnished,,,,0,1700000
380,Semi-Furnished,,1 Covered,Freehold,0,4000000
381,Semi-Furnished,,,,0,2000000
382,Unfurnished,,,,0,5800000
383,Semi-Furnished,,2 Covered,,0,3100000
384,Furnished,,,,0,8000000
385,Furnished,,,,0,15000000
386,Furnished,North - East,,Freehold,0,23500000
387,Semi-Furnished,,,,0,6500000
388,Unfurnished,West,3 Covered,Freehold,500000,4900000
389,Semi-Furnished,,"2 Covered, 1 Open",Freehold,0,75000000
390,Semi-Furnished,,,Freehold,0,11500000
391,Unfurnished,,,,0,4500000
392,Furnished,,1 Open,Co-operative Society,0,9400000
393,Unfurnished,East,,Freehold,0,1430000
394,Semi-Furnished,,,Freehold,0,9800000
395,Furnished,,,Freehold,0,3500000
396,Semi-Furnished,,,,500000,8500000
397,Semi-Furnished,,,Freehold,0,54500000
398,Furnished,South - East,1 Covered,Freehold,0,11200000
399,Unfurnished,,,Freehold,0,23000000
400,Furnished,,,,100000,15000000
401,Semi-Furnished,,,Freehold,100000,9500000
402,Semi-Furnished,East,,Freehold,0,15500000
403,Semi-Furnished,East,1 Open,Leasehold,0,20000000
404,Unfurnished,,,,0,6200000
405,Unfurnished,South - East,,Freehold,0,19000000
406,Semi-Furnished,,,Freehold,0,850000
407,Unfurnished,East,,Freehold,300000,3200000
408,Unfurnished,East,,Freehold,300000,2850000
409,Unfurnished,,,,0,2200000
410,Semi-Furnished,South - East,1 Open,Freehold,100000,25000000
411,Unfurnished,,,,0,2500000
412,Furnished,North - West,1 Open,Freehold,0,18000000
413,Semi-Furnished,,1 Covered,Freehold,0,3500000
414,Semi-Furnished,South,,Freehold,0,9000000
415,Semi-Furnished,North - East,,Freehold,0,4000000
416,Furnished,,,Freehold,0,16500000
417,Unfurnished,South,,,0,2400000
418,Unfurnished,,,Freehold,0,7500000
419,Unfurnished,,1 Covered,Power Of Attorney,0,4000000
420,Unfurnished,South - East,,Freehold,0,11000000
421,Semi-Furnished,East,,Freehold,0,1800000
422,Unfurnished,East,,,0,7500000
423,Semi-Furnished,,,,0,5500000
424,Unfurnished,North - East,,Co-operative Society,0,15500000
425,Semi-Furnished,East,1 Covered,Freehold,0,9000000
426,Semi-Furnished,,,,1000000,2550000
427,Unfurnished,,,,0,2150000
428,Unfurnished,North,,Freehold,0,4500000
429,Semi-Furnished,North,,Freehold,1000000,16000000
430,Unfurnished,,,Freehold,0,26500000
431,Semi-Furnished,North,,Freehold,0,95000000
432,Semi-Furnished,East,,Freehold,0,2800000
433,Semi-Furnished,,,,0,15000000
434,Semi-Furnished,,1 Open,Freehold,0,9000000
435,Furnished,,,,2500000,24000000
436,Semi-Furnished,East,1 Covered,Freehold,460000,4700000
437,Unfurnished,,,,0,22000000
438,Semi-Furnished,East,,Freehold,5000000,25000000
439,Unfurnished,,,,0,10000000
440,Semi-Furnished,South -West,,Freehold,100000,18000000
441,Unfurnished,East,,Power Of Attorney,0,3500000
442,Unfurnished,,,,0,1900000
443,Furnished,East,,Freehold,500000,9000000
444,Unfurnished,,,,0,18000000
445,Unfurnished,,,,100000,2200000
446,Semi-Furnished,,,,0,3200000
447,Semi-Furnished,,,Freehold,0,9850000
448,Semi-Furnished,,1 Open,Freehold,100000,15500000
449,Furnished,,,,0,8000000
450,Semi-Furnished,,,,1000000,11000000
451,Semi-Furnished,North,,Freehold,50000,4000000
